Date,Growth_Proxy
2000-01-01,91.538
2000-02-01,91.8239
2000-03-01,92.1504
2000-04-01,92.6989
2000-05-01,92.9499
2000-06-01,92.9862
2000-07-01,92.8048
2000-08-01,92.5521
2000-09-01,92.9792
2000-10-01,92.6179
2000-11-01,92.6438
2000-12-01,92.3415
2001-01-01,91.902
2001-02-01,91.3034
2001-03-01,91.1162
2001-04-01,90.7891
2001-05-01,90.3555
2001-06-01,89.8784
2001-07-01,89.3028
2001-08-01,89.2003
2001-09-01,88.7485
2001-10-01,88.5052
2001-11-01,87.97
2001-12-01,87.9324
2002-01-01,88.5176
2002-02-01,88.5278
2002-03-01,89.1686
2002-04-01,89.604
2002-05-01,89.964
2002-06-01,90.7061
2002-07-01,90.6769
2002-08-01,90.5762
2002-09-01,90.6531
2002-10-01,90.4643
2002-11-01,90.9711
2002-12-01,90.4652
2003-01-01,91.2361
2003-02-01,91.3445
2003-03-01,91.1044
2003-04-01,90.5617
2003-05-01,90.537
2003-06-01,90.6527
2003-07-01,91.1185
2003-08-01,90.9197
2003-09-01,91.5059
2003-10-01,91.6186
2003-11-01,92.2329
2003-12-01,92.2602
2004-01-01,92.4006
2004-02-01,92.958
2004-03-01,92.5861
2004-04-01,92.93
2004-05-01,93.6013
2004-06-01,92.871
2004-07-01,93.5649
2004-08-01,93.6277
2004-09-01,93.7467
2004-10-01,94.5465
2004-11-01,94.7813
2004-12-01,95.5365
2005-01-01,95.8801
2005-02-01,96.5761
2005-03-01,96.4456
2005-04-01,96.6532
2005-05-01,96.7402
2005-06-01,97.1753
2005-07-01,96.8676
2005-08-01,97.1833
2005-09-01,95.3005
2005-10-01,96.4572
2005-11-01,97.5414
2005-12-01,98.0452
2006-01-01,98.1999
2006-02-01,98.2413
2006-03-01,98.4628
2006-04-01,98.7618
2006-05-01,98.7869
2006-06-01,99.0997
2006-07-01,99.0489
2006-08-01,99.4836
2006-09-01,99.3183
2006-10-01,99.2044
2006-11-01,99.1627
2006-12-01,100.1735
2007-01-01,99.8346
2007-02-01,100.7753
2007-03-01,100.9547
2007-04-01,101.6334
2007-05-01,101.7306
2007-06-01,101.7893
2007-07-01,101.6672
2007-08-01,101.863
2007-09-01,102.0894
2007-10-01,101.8015
2007-11-01,102.3446
2007-12-01,102.3803
2008-01-01,102.2448
2008-02-01,101.8438
2008-03-01,101.5336
2008-04-01,100.8785
2008-05-01,100.2674
2008-06-01,100.0335
2008-07-01,99.676
2008-08-01,98.1111
2008-09-01,93.7895
2008-10-01,94.7219
2008-11-01,93.4715
2008-12-01,90.8357
2009-01-01,88.57
2009-02-01,88.031
2009-03-01,86.6528
2009-04-01,85.9344
2009-05-01,85.0665
2009-06-01,84.7459
2009-07-01,85.7027
2009-08-01,86.6426
2009-09-01,87.4063
2009-10-01,87.6419
2009-11-01,88.0221
2009-12-01,88.3793
2010-01-01,89.3426
2010-02-01,89.6779
2010-03-01,90.2928
2010-04-01,90.5991
2010-05-01,91.823
2010-06-01,91.9928
2010-07-01,92.3421
2010-08-01,92.6805
2010-09-01,92.9537
2010-10-01,92.6903
2010-11-01,92.7709
2010-12-01,93.6787
2011-01-01,93.4814
2011-02-01,93.1102
2011-03-01,94.0788
2011-04-01,93.7749
2011-05-01,93.888
2011-06-01,94.172
2011-07-01,94.636
2011-08-01,95.2749
2011-09-01,95.1961
2011-10-01,95.8568
2011-11-01,95.8485
2011-12-01,96.3571
2012-01-01,96.9318
2012-02-01,97.2435
2012-03-01,96.74
2012-04-01,97.4359
2012-05-01,97.6609
2012-06-01,97.6663
2012-07-01,97.8713
2012-08-01,97.4525
2012-09-01,97.381
2012-10-01,97.7193
2012-11-01,98.0777
2012-12-01,98.3101
2013-01-01,98.3342
2013-02-01,98.7941
2013-03-01,99.1921
2013-04-01,99.1065
2013-05-01,99.1839
2013-06-01,99.3897
2013-07-01,99.0814
2013-08-01,99.6543
2013-09-01,100.161
2013-10-01,100.082
2013-11-01,100.3158
2013-12-01,100.5175
2014-01-01,100.1599
2014-02-01,100.9168
2014-03-01,101.8942
2014-04-01,101.9928
2014-05-01,102.3836
2014-06-01,102.735
2014-07-01,102.9632
2014-08-01,102.7688
2014-09-01,103.0641
2014-10-01,103.0764
2014-11-01,103.7126
2014-12-01,103.7044
2015-01-01,102.8905
2015-02-01,102.2335
2015-03-01,101.8914
2015-04-01,101.3355
2015-05-01,100.8883
2015-06-01,100.571
2015-07-01,101.2228
2015-08-01,101.0367
2015-09-01,100.7547
2015-10-01,100.2675
2015-11-01,99.5298
2015-12-01,99.0417
2016-01-01,99.5607
2016-02-01,99.0445
2016-03-01,98.3096
2016-04-01,98.6421
2016-05-01,98.4184
2016-06-01,98.8833
2016-07-01,98.9992
2016-08-01,98.85
2016-09-01,98.7457
2016-10-01,98.7611
2016-11-01,98.3491
2016-12-01,99.0214
2017-01-01,98.7611
2017-02-01,98.3646
2017-03-01,99.0137
2017-04-01,100.0224
2017-05-01,100.1408
2017-06-01,100.3471
2017-07-01,100.1068
2017-08-01,99.6925
2017-09-01,99.7954
2017-10-01,101.0247
2017-11-01,101.2664
2017-12-01,101.4644
2018-01-01,101.4625
2018-02-01,101.7085
2018-03-01,102.2067
2018-04-01,103.3329
2018-05-01,102.4024
2018-06-01,103.198
2018-07-01,103.3646
2018-08-01,104.0327
2018-09-01,104.1004
2018-10-01,103.9856
2018-11-01,104.0681
2018-12-01,104.0936
2019-01-01,103.4021
2019-02-01,102.8371
2019-03-01,102.8757
2019-04-01,102.274
2019-05-01,102.392
2019-06-01,102.4375
2019-07-01,101.9408
2019-08-01,102.639
2019-09-01,102.2917
2019-10-01,101.4281
2019-11-01,101.9372
2019-12-01,101.7003
2020-01-01,101.0338
2020-02-01,101.3735
2020-03-01,97.4078
2020-04-01,84.5619
2020-05-01,85.9604
2020-06-01,91.5934
2020-07-01,95.0256
2020-08-01,95.9549
2020-09-01,95.9669
2020-10-01,96.7394
2020-11-01,97.0816
2020-12-01,98.363
2021-01-01,98.8822
2021-02-01,95.6149
2021-03-01,98.3856
2021-04-01,98.5587
2021-05-01,99.4333
2021-06-01,99.7987
2021-07-01,100.2519
2021-08-01,100.0437
2021-09-01,98.8579
2021-10-01,100.1861
2021-11-01,100.8654
2021-12-01,100.5726
2022-01-01,100.1856
2022-02-01,100.8064
2022-03-01,101.3907
2022-04-01,101.44
2022-05-01,101.3335
2022-06-01,101.018
2022-07-01,101.223
2022-08-01,101.0963
2022-09-01,101.2918
2022-10-01,101.2529
2022-11-01,100.9552
2022-12-01,99.7664
2023-01-01,100.505
2023-02-01,100.6416
2023-03-01,101.0205
2023-04-01,101.253
2023-05-01,100.9286
2023-06-01,100.1196
2023-07-01,100.9067
2023-08-01,100.8393
2023-09-01,101.0211
2023-10-01,100.4689
2023-11-01,100.8639
2023-12-01,100.6031
2024-01-01,99.2223
2024-02-01,100.285
2024-03-01,100.4575
2024-04-01,100.2434
2024-05-01,100.863
2024-06-01,100.894
2024-07-01,99.9757
2024-08-01,100.4309
2024-09-01,99.8084
2024-10-01,99.4695
2024-11-01,99.2925
2024-12-01,100.3273
2025-01-01,100.0647
2025-02-01,101.0993
2025-03-01,101.0404
2025-04-01,101.1279
2025-05-01,100.9655
2025-06-01,101.4785
2025-07-01,101.894
2025-08-01,101.6247
2025-09-01,101.668
2025-10-01,101.2195
2025-11-01,101.081
2025-12-01,101.6113
2026-01-01,101.5954
2026-02-01,102.344
2026-03-01,101.7898
